onset_scan_mask_number,severity_mask_number,mrs_mask_number,age_mask_number,infarction_mask_number,precise_mask_number,sleep_mask_number,anticoag_mask_number,Probabilities,Thrombolysis_real
0,0,0,1,1,0,0,0,"[0.7  0.66 0.09 0.04 0.54 0.08 0.02 0.03 0.02 0.08 0.78 0.   0.09 0.17
 0.08 0.04 0.02 0.13 0.05 0.16 0.01 0.44 0.01 0.02 0.02 0.71 0.39 0.14
 0.13 0.05 0.02 0.15 0.09 0.1  0.87 0.02 0.06 0.08 0.07 0.53 0.06 0.06
 0.24 0.03 0.   0.02 0.22 0.38 0.01 0.01 0.02 0.56 0.02 0.09 0.02 0.37
 0.63 0.04 0.39 0.27 0.02 0.47 0.33 0.18 0.05 0.09 0.01 0.47 0.33 0.01
 0.31 0.5  0.19 0.16 0.52 0.43 0.07 0.73 0.07 0.01 0.76 0.03 0.05 0.59
 0.01 0.1  0.05 0.01 0.05 0.79 0.17 0.04 0.01 0.16 0.24 0.49 0.09 0.02
 0.16 0.03 0.17 0.38 0.32 0.12 0.2  0.02 0.25 0.25 0.1  0.63 0.05 0.02
 0.06 0.07 0.01 0.17 0.08 0.01 0.04 0.06 0.13 0.31 0.19 0.23 0.46 0.28
 0.69 0.04 0.62 0.28 0.17 0.23 0.39 0.02 0.24 0.19 0.01 0.12 0.32 0.01
 0.49 0.11 0.53 0.02 0.33 0.22 0.01 0.66 0.01 0.05 0.   0.   0.01 0.06
 0.   0.14 0.11 0.21 0.31 0.03 0.18 0.01 0.21 0.43 0.12 0.1  0.01 0.39
 0.01 0.04 0.1  0.04 0.25 0.63 0.45 0.04 0.01 0.65 0.38]","[0 0 1 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0
 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0
 0 1 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0
 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 1 0 1 0 1 0 0 1 0 0 1 0]"
0,0,0,1,1,0,0,1,"[0.   0.01 0.02 0.01 0.15 0.27 0.42 0.   0.01 0.01 0.   0.04 0.02 0.07
 0.06 0.04 0.28 0.02 0.05 0.23 0.01 0.57 0.69 0.03 0.01 0.05 0.03 0.01
 0.22 0.02 0.   0.06 0.05 0.1  0.   0.06 0.02 0.09 0.1  0.03 0.07 0.31
 0.04 0.03 0.43 0.02 0.12 0.1  0.02 0.05 0.11 0.01 0.03 0.05 0.   0.01
 0.01 0.   0.   0.02 0.08 0.28 0.   0.04 0.16 0.   0.37 0.29 0.02 0.2
 0.34 0.01 0.04 0.07 0.01 0.07 0.03 0.07 0.02 0.   0.04 0.1  0.1  0.01
 0.2  0.01 0.   0.01 0.01 0.15 0.   0.04 0.04 0.08 0.03 0.02 0.1  0.01
 0.06 0.15 0.21 0.03 0.02 0.64 0.06 0.03 0.07 0.02 0.01 0.02 0.01 0.05
 0.35 0.03 0.03 0.15 0.06 0.14 0.52 0.21 0.07 0.01 0.01 0.09 0.01 0.25]","[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1]"
0,0,0,1,1,0,1,0,"[0.01 0.05 0.   0.   0.22 0.02 0.02 0.07 0.02 0.07 0.14 0.59 0.03 0.03
 0.03 0.   0.01 0.01 0.   0.06 0.01 0.01 0.01 0.03]",[0 0 0 0 1 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0]
0,0,0,1,1,0,1,1,"[0.03 0.01 0.04 0.01 0.   0.03 0.01 0.03 0.01 0.05 0.   0.01 0.02 0.01
 0.03 0.03 0.03 0.09 0.   0.04 0.01 0.01 0.05 0.1  0.01]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
0,0,0,1,1,1,0,0,"[0.74 0.26 0.85 0.83 0.05 0.09 0.02 0.42 0.12 0.82 0.36 0.63 0.02 0.56
 0.69 0.43 0.09 0.11 0.37 0.04 0.01 0.43 0.06 0.75 0.12 0.73 0.81 0.19
 0.82 0.06 0.79 0.72 0.01 0.71 0.5  0.04 0.2  0.21 0.11 0.12 0.02 0.03
 0.85 0.68 0.02 0.14 0.15 0.03 0.72 0.03 0.79 0.68 0.71 0.9  0.37 0.88
 0.79 0.75 0.77 0.64 0.16 0.09 0.13 0.05 0.03 0.03 0.11 0.76 0.48 0.06
 0.24 0.12 0.11 0.24 0.56 0.51 0.06 0.78 0.85 0.15 0.47 0.22 0.79 0.79
 0.05 0.76 0.51 0.01 0.08 0.67 0.56 0.83 0.83 0.07 0.46 0.74 0.21 0.46
 0.35 0.94 0.85 0.06 0.3  0.79 0.61 0.03 0.08 0.3  0.5  0.75 0.56 0.04
 0.03 0.65 0.75 0.13 0.85 0.04 0.27 0.19 0.01 0.89 0.92 0.69 0.75 0.18
 0.56 0.29 0.66 0.28 0.33 0.91 0.19 0.03 0.11 0.8  0.01 0.23 0.19 0.33
 0.91 0.88 0.3  0.29 0.02 0.55 0.86 0.01 0.02 0.4  0.67 0.66 0.14 0.13
 0.71 0.04 0.01 0.42 0.68 0.43 0.14 0.7  0.94 0.84 0.17 0.02 0.23 0.83
 0.73 0.27 0.72 0.12 0.37 0.18 0.91 0.02 0.33 0.05 0.59 0.64 0.02 0.08
 0.04 0.05 0.62 0.44 0.01 0.16 0.61 0.05 0.8  0.71 0.02 0.86 0.1  0.33
 0.67 0.42 0.28 0.62 0.45 0.01 0.62 0.66 0.68 0.18 0.83 0.11 0.74 0.29
 0.11 0.83 0.81 0.85 0.57 0.11 0.02 0.77 0.18 0.4  0.47 0.52 0.22 0.14
 0.   0.81 0.   0.76 0.21 0.24 0.1  0.25 0.91 0.86 0.29 0.01 0.02 0.49
 0.72 0.36 0.05 0.78 0.02 0.52 0.09 0.88 0.06 0.6  0.5  0.87 0.22 0.58
 0.83 0.17 0.37 0.2  0.03 0.72 0.57 0.08 0.06 0.49 0.22 0.81 0.12 0.08
 0.77 0.07 0.32 0.9  0.6  0.45 0.02 0.47 0.27 0.34 0.04 0.   0.91 0.04
 0.34 0.12 0.11 0.41 0.77 0.05 0.04 0.01 0.11 0.54 0.23 0.83 0.29 0.39
 0.84 0.12 0.09 0.65 0.02 0.43 0.67 0.6  0.49 0.87 0.17 0.69 0.79 0.01
 0.83 0.77 0.05 0.6  0.02 0.65 0.27 0.09 0.75 0.15 0.82 0.65 0.03 0.02
 0.06 0.04 0.01 0.12 0.75 0.85 0.01 0.67 0.32 0.01 0.09 0.73 0.14 0.16
 0.67 0.36 0.48 0.05 0.42 0.61 0.25 0.75 0.19 0.02 0.23 0.72 0.11 0.08
 0.14 0.92 0.15 0.15 0.82 0.61 0.09 0.15 0.02]","[0 0 0 0 0 0 0 1 0 1 0 1 0 1 1 1 0 0 1 0 0 1 0 0 0 0 1 0 1 0 0 0 0 1 1 0 0
 0 0 0 0 0 1 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 0 1 1 0 1 0 0 0 0 1 1 0 1 1 0 1
 1 0 0 1 0 0 1 1 1 1 0 1 1 0 0 1 0 0 1 0 1 1 0 0 1 1 1 0 1 0 1 1 0 0 1 1 1
 0 0 0 1 0 1 0 0 0 0 1 1 1 0 1 1 1 1 0 0 1 0 0 0 1 0 0 0 0 1 1 0 0 0 0 1 0
 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 1 0 0 1 1 0 0 0 0 1 0 0 0 0 1
 0 0 1 1 0 1 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 1 0 1 0 0 1 1 1 0 0 0 1 0 1 1 1
 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 0 1 0 1 0 0 0 0 0 0 1
 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 1 1 0 0 0 0 1 0 1 0 0 1 0
 0 1 0 1 1 1 0 1 0 1 1 0 1 0 0 1 0 1 1 0 1 0 1 1 0 0 0 0 0 0 1 0 0 1 0 0 0
 0 0 0 0 1 0 0 1 0 0 1 0 0 1 1 0 0 0 1 0 1 1 1 0 0 0]"
0,0,0,1,1,1,0,1,"[0.2  0.06 0.34 0.05 0.47 0.02 0.01 0.24 0.04 0.38 0.11 0.82 0.52 0.3
 0.05 0.82 0.37 0.75 0.04 0.87 0.15 0.06 0.11 0.11 0.8  0.13 0.05 0.37
 0.01 0.72 0.07 0.92 0.02 0.68 0.01 0.38 0.78 0.03 0.15 0.6  0.87 0.6
 0.   0.01 0.03 0.82 0.18 0.83 0.02 0.4  0.02 0.88 0.   0.53 0.04 0.02
 0.22 0.   0.01 0.   0.   0.79 0.11 0.02 0.77 0.67 0.07 0.29 0.   0.09
 0.   0.66 0.06 0.59 0.27 0.2  0.09 0.16 0.13 0.16 0.08 0.51 0.7  0.67
 0.69 0.02 0.1  0.9  0.29 0.68 0.   0.18 0.04 0.12 0.12 0.02 0.3  0.56
 0.02 0.69 0.56 0.03 0.07 0.09 0.04 0.   0.55 0.1  0.05 0.05 0.06 0.8
 0.02 0.31 0.1  0.1  0.01 0.01 0.59 0.06 0.77 0.08 0.68 0.01 0.26 0.38
 0.01 0.24 0.87 0.05 0.27 0.03 0.01 0.02 0.21 0.83 0.64 0.1  0.05 0.59
 0.18 0.01 0.16 0.06 0.15 0.12 0.82 0.07 0.08 0.47 0.53 0.04 0.52 0.24
 0.68 0.68 0.42 0.23 0.04 0.14 0.66 0.74 0.84 0.1  0.02 0.03 0.12 0.04
 0.14 0.13 0.86 0.01 0.11 0.18 0.04 0.01 0.02 0.   0.53 0.04 0.16 0.16
 0.89 0.4  0.06 0.02 0.01 0.15 0.18 0.06 0.85 0.15 0.02 0.12 0.71 0.04
 0.01 0.01 0.04 0.09 0.71 0.56 0.01 0.29 0.79 0.15 0.16 0.53 0.46 0.38
 0.66 0.48 0.03 0.1  0.02 0.01 0.36 0.82 0.6  0.29 0.11 0.   0.36 0.26
 0.57 0.33 0.   0.26 0.02 0.06 0.46 0.02 0.82 0.9  0.27 0.02 0.02 0.02
 0.17 0.01 0.01 0.4  0.03 0.27 0.01 0.03 0.56 0.16 0.08 0.   0.16 0.45
 0.63 0.04 0.94 0.36 0.15 0.37 0.08 0.68 0.66 0.38 0.34]","[1 0 1 0 1 0 0 0 0 0 0 0 1 0 0 1 1 1 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 1 1 1 1
 0 0 1 1 1 0 0 0 1 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 1 0 0
 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
 1 0 1 0 1 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 1 1 0
 0 1 0 0 0 0 1 0 1 1 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1
 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0
 1 0 1 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 1 0 1 0 0
 0 1 0 0]"
0,0,0,1,1,1,1,0,[],[]
0,0,0,1,1,1,1,1,[],[]
0,0,1,0,0,0,0,0,[0. 0. 0. 0. 0.],[0 0 0 0 0]
0,0,1,0,0,0,0,1,[0. 0. 0. 0. 0. 0. 0.],[0 0 0 0 0 0 0]
0,0,1,0,0,0,1,0,[],[]
0,0,1,0,0,0,1,1,[0. 0.],[0 0]
0,0,1,0,0,1,0,0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[0 0 0 0 0 0 0 0 0 0 0]
0,0,1,0,0,1,0,1,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[0 0 0 0 0 0 0 0 0 0]
0,0,1,0,0,1,1,0,[],[]
0,0,1,0,0,1,1,1,[],[]
0,0,1,0,1,0,0,0,"[0.36 0.07 0.03 0.44 0.38 0.03 0.59 0.11 0.04 0.18 0.07 0.01 0.02 0.25
 0.02 0.31 0.03 0.11 0.13 0.57 0.02 0.32 0.44 0.01 0.55 0.05 0.04 0.24
 0.3  0.09 0.33 0.03 0.25 0.08 0.23 0.15 0.18 0.15 0.2  0.04 0.01 0.01
 0.02 0.17 0.09 0.24 0.31 0.62 0.04 0.14 0.09 0.01 0.15 0.41 0.   0.03
 0.04 0.01 0.53 0.24 0.33 0.01 0.72 0.25 0.03 0.12 0.04 0.18 0.1  0.54
 0.11 0.56]","[1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0
 1 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
0,0,1,0,1,0,0,1,"[0.05 0.25 0.12 0.51 0.02 0.16 0.01 0.01 0.   0.19 0.   0.03 0.06 0.6
 0.33 0.02 0.02 0.03 0.23 0.03 0.14 0.37 0.   0.25 0.28 0.01 0.05 0.05
 0.   0.   0.17 0.01 0.07 0.02 0.   0.01 0.02 0.58 0.   0.02 0.07 0.01
 0.03 0.04 0.27 0.05]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0
 1 0 0 0 0 0 0 1 0]"
0,0,1,0,1,0,1,0,[0.02 0.06 0.   0.02 0.13 0.03 0.04 0.02],[0 0 0 0 0 0 0 0]
0,0,1,0,1,0,1,1,[0.   0.01 0.03 0.01 0.02 0.   0.11 0.01 0.  ],[0 0 0 0 0 0 0 0 0]
0,0,1,0,1,1,0,0,"[0.23 0.5  0.17 0.68 0.12 0.24 0.13 0.08 0.02 0.38 0.76 0.59 0.2  0.32
 0.12 0.25 0.42 0.66 0.1  0.48 0.08 0.06 0.81 0.56 0.23 0.17 0.24 0.08
 0.65 0.83 0.03 0.48 0.19 0.05 0.19 0.08 0.67 0.47 0.75 0.01 0.78 0.03
 0.05 0.09 0.09 0.37 0.05 0.39 0.42 0.08 0.26 0.69 0.64 0.2  0.26 0.76
 0.09 0.6  0.02 0.68 0.33 0.07 0.52 0.83 0.09 0.38 0.14 0.38 0.2  0.11
 0.02 0.08 0.54 0.53 0.05 0.15 0.02 0.58 0.39 0.35 0.68 0.21 0.04 0.13
 0.69 0.24 0.07 0.47 0.12 0.1  0.49 0.76 0.36 0.44 0.23 0.75 0.72 0.8
 0.78 0.36 0.06 0.44 0.02 0.28 0.14 0.78 0.04 0.24 0.22 0.38 0.07 0.18
 0.47 0.09 0.07 0.59 0.16 0.06 0.   0.46 0.42 0.21 0.24 0.02 0.37 0.22
 0.56 0.01 0.22 0.11 0.41 0.02 0.69 0.02]","[0 1 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 1 0 1 1 1
 0 1 0 1 0 1 0 0 0 0 0 1 0 1 0 1 0 1 1 1 1 0 1 0 0 1 1 1 1 0 0 0 0 0 0 1 1
 0 1 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 1 1 0 1 0 1 0 0 0 1 0 0 1 1 0
 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 1 0 1 0]"
0,0,1,0,1,1,0,1,"[0.51 0.35 0.02 0.03 0.45 0.19 0.   0.   0.07 0.76 0.5  0.15 0.01 0.54
 0.43 0.04 0.03 0.01 0.   0.21 0.01 0.01 0.01 0.37 0.25 0.02 0.52 0.01
 0.07 0.05 0.53 0.03 0.7  0.04 0.74 0.2  0.13 0.38 0.69 0.13 0.77 0.02
 0.59 0.05 0.76 0.01 0.1  0.22 0.51 0.34 0.47 0.83 0.03 0.36 0.05 0.47
 0.4  0.01 0.27 0.05 0.02 0.79 0.4  0.01 0.06 0.46 0.37 0.03 0.01 0.13
 0.01 0.64 0.56 0.75 0.07 0.47 0.03 0.11 0.06 0.   0.02 0.03 0.01 0.01
 0.01 0.02 0.07 0.56 0.02 0.11 0.64 0.04 0.07 0.05 0.2  0.04]","[0 1 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0
 0 1 0 1 0 0 0 1 0 0 1 1 1 1 1 0 0 0 1 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 1 0 1
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0]"
0,0,1,0,1,1,1,0,[],[]
0,0,1,0,1,1,1,1,[],[]
0,0,1,1,0,0,0,0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[0 0 0 0 0 0 0 0 0 0]
0,0,1,1,0,0,0,1,[0. 0. 0. 0. 0. 0. 0. 0.],[0 0 0 0 0 0 0 0]
0,0,1,1,0,0,1,0,[],[]
0,0,1,1,0,0,1,1,[0.],[0]
0,0,1,1,0,1,0,0,[0. 0. 0. 0. 0. 0. 0. 0.],[0 0 0 0 0 0 0 0]
0,0,1,1,0,1,0,1,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[0 0 0 0 0 0 0 0 0 0 0 0 0 0]
0,0,1,1,0,1,1,0,[],[]
0,0,1,1,0,1,1,1,[],[]
0,0,1,1,1,0,0,0,"[0.4  0.32 0.06 0.17 0.04 0.43 0.06 0.42 0.55 0.   0.02 0.28 0.05 0.24
 0.05 0.11 0.01 0.03 0.06 0.02 0.05 0.14 0.03 0.06 0.06 0.02 0.03 0.33
 0.01 0.09 0.24 0.07 0.02 0.01 0.06 0.12 0.04 0.06 0.29 0.12 0.06 0.05
 0.02 0.01 0.1  0.16 0.05 0.1  0.01 0.11 0.02 0.3  0.04 0.12 0.02 0.29
 0.02 0.04 0.03 0.04 0.19 0.01 0.23 0.02 0.29 0.13 0.01 0.03 0.07 0.
 0.12 0.25 0.04 0.01 0.   0.56 0.08 0.18 0.01 0.02 0.05 0.21 0.63 0.04
 0.17 0.04 0.02 0.42 0.03 0.13 0.06 0.06 0.3  0.37 0.12 0.14 0.3  0.05
 0.15 0.23 0.39 0.38 0.2  0.   0.15 0.07]","[0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0
 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 1 1 0 0 0]"
0,0,1,1,1,0,0,1,"[0.04 0.01 0.   0.02 0.   0.05 0.01 0.04 0.02 0.   0.01 0.02 0.   0.02
 0.01 0.11 0.02 0.03 0.01 0.01 0.   0.01 0.   0.07 0.28 0.02 0.01 0.01
 0.   0.07 0.07 0.63 0.13 0.02 0.59 0.02 0.   0.08 0.   0.01 0.01 0.01
 0.13 0.02 0.06 0.05 0.   0.   0.01 0.16 0.01 0.04 0.02 0.14 0.34 0.22
 0.04 0.09 0.04 0.01 0.02 0.03 0.06 0.01 0.   0.44 0.05 0.02 0.   0.06
 0.03 0.01 0.01 0.02 0.2  0.03]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
 1 0]"
0,0,1,1,1,0,1,0,[0.03 0.01 0.   0.   0.02 0.09 0.   0.   0.02 0.09 0.03],[0 0 0 0 0 0 0 0 0 0 0]
0,0,1,1,1,0,1,1,[0.02 0.   0.   0.01 0.01 0.  ],[0 0 0 0 0 0]
0,0,1,1,1,1,0,0,"[0.48 0.03 0.61 0.19 0.01 0.52 0.14 0.34 0.24 0.03 0.25 0.02 0.26 0.12
 0.19 0.18 0.38 0.16 0.34 0.82 0.69 0.07 0.29 0.31 0.67 0.49 0.16 0.17
 0.07 0.42 0.86 0.04 0.58 0.01 0.45 0.02 0.07 0.07 0.43 0.58 0.01 0.08
 0.58 0.61 0.14 0.03 0.13 0.25 0.74 0.27 0.06 0.13 0.63 0.12 0.72 0.12
 0.05 0.33 0.27 0.57 0.65 0.05 0.68 0.35 0.07 0.07 0.02 0.01 0.58 0.04
 0.04 0.11 0.01 0.05 0.02 0.06 0.78 0.42 0.03 0.64 0.01 0.01 0.77 0.06
 0.08 0.13 0.05 0.   0.01 0.02 0.1  0.08 0.01 0.12 0.24 0.02 0.14 0.6
 0.15 0.12 0.01 0.67 0.36 0.08 0.03 0.75 0.12 0.67 0.06 0.6  0.07 0.01
 0.11 0.92 0.34 0.02 0.08 0.12 0.6  0.27 0.61 0.4  0.05 0.51 0.08 0.21
 0.15 0.   0.04 0.   0.31 0.07 0.08 0.73 0.02 0.08 0.07 0.4  0.25 0.55
 0.05 0.06 0.57 0.16 0.08 0.53 0.2  0.7  0.12 0.01 0.39 0.65 0.   0.7
 0.64 0.75 0.01 0.5  0.13 0.29 0.68 0.37 0.12 0.08 0.18 0.08 0.03 0.23
 0.29 0.28]","[0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 1 0 0 0 0 1 0 1 0 0 0 0
 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 1 1 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 1
 0 0 0 1 0 1 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 1 0 0 1 1 0 1 0 0 0
 0 0 1 1 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 1 1 0 0 1 0 0 1 0 1
 1 0 0 1 0 0 0 1 0 1 0 1 0 1 0 0 1 0 0 0 0 1]"
0,0,1,1,1,1,0,1,"[0.14 0.01 0.01 0.   0.67 0.02 0.02 0.04 0.02 0.1  0.03 0.   0.02 0.37
 0.01 0.33 0.02 0.01 0.02 0.11 0.02 0.63 0.   0.11 0.01 0.61 0.54 0.15
 0.   0.05 0.01 0.04 0.06 0.54 0.01 0.04 0.02 0.1  0.13 0.01 0.82 0.11
 0.02 0.34 0.04 0.66 0.   0.07 0.08 0.02 0.05 0.1  0.12 0.26 0.03 0.12
 0.66 0.73 0.04 0.01 0.03 0.08 0.23 0.57 0.02 0.02 0.01 0.09 0.02 0.47
 0.38 0.04 0.73 0.01 0.15 0.02 0.41 0.36 0.01 0.4  0.11 0.78 0.02 0.02
 0.09 0.06 0.47 0.01 0.07 0.62 0.67 0.02 0.09 0.67 0.01 0.02 0.12 0.02
 0.   0.62 0.05 0.01 0.39 0.   0.54 0.53 0.03 0.02 0.21 0.62 0.03 0.
 0.06 0.01 0.01 0.07 0.25 0.08 0.01 0.49 0.03 0.12 0.16 0.03 0.7  0.64
 0.27 0.13 0.02 0.05 0.02 0.02 0.41]","[0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0
 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0
 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0]"
0,0,1,1,1,1,1,0,[],[]
0,0,1,1,1,1,1,1,[],[]
0,0,2,0,0,0,0,0,[0.],[0]
0,0,2,0,0,0,0,1,[],[]
0,0,2,0,0,0,1,0,[],[]
0,0,2,0,0,0,1,1,[],[]
