onset_scan_mask_number,severity_mask_number,mrs_mask_number,age_mask_number,infarction_mask_number,precise_mask_number,sleep_mask_number,anticoag_mask_number,mask_number
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,1,0,2
0,0,0,0,0,0,1,1,3
0,0,0,0,0,1,0,0,4
0,0,0,0,0,1,0,1,5
0,0,0,0,0,1,1,0,6
0,0,0,0,0,1,1,1,7
0,0,0,0,1,0,0,0,8
0,0,0,0,1,0,0,1,9
0,0,0,0,1,0,1,0,10
0,0,0,0,1,0,1,1,11
0,0,0,0,1,1,0,0,12
0,0,0,0,1,1,0,1,13
0,0,0,0,1,1,1,0,14
0,0,0,0,1,1,1,1,15
0,0,0,1,0,0,0,0,16
0,0,0,1,0,0,0,1,17
0,0,0,1,0,0,1,0,18
0,0,0,1,0,0,1,1,19
0,0,0,1,0,1,0,0,20
0,0,0,1,0,1,0,1,21
0,0,0,1,0,1,1,0,22
0,0,0,1,0,1,1,1,23
0,0,0,1,1,0,0,0,24
0,0,0,1,1,0,0,1,25
0,0,0,1,1,0,1,0,26
0,0,0,1,1,0,1,1,27
0,0,0,1,1,1,0,0,28
0,0,0,1,1,1,0,1,29
0,0,0,1,1,1,1,0,30
0,0,0,1,1,1,1,1,31
0,0,1,0,0,0,0,0,32
0,0,1,0,0,0,0,1,33
0,0,1,0,0,0,1,0,34
0,0,1,0,0,0,1,1,35
0,0,1,0,0,1,0,0,36
0,0,1,0,0,1,0,1,37
0,0,1,0,0,1,1,0,38
0,0,1,0,0,1,1,1,39
0,0,1,0,1,0,0,0,40
0,0,1,0,1,0,0,1,41
0,0,1,0,1,0,1,0,42
0,0,1,0,1,0,1,1,43
0,0,1,0,1,1,0,0,44
0,0,1,0,1,1,0,1,45
0,0,1,0,1,1,1,0,46
0,0,1,0,1,1,1,1,47
0,0,1,1,0,0,0,0,48
0,0,1,1,0,0,0,1,49
0,0,1,1,0,0,1,0,50
0,0,1,1,0,0,1,1,51
0,0,1,1,0,1,0,0,52
0,0,1,1,0,1,0,1,53
0,0,1,1,0,1,1,0,54
0,0,1,1,0,1,1,1,55
0,0,1,1,1,0,0,0,56
0,0,1,1,1,0,0,1,57
0,0,1,1,1,0,1,0,58
0,0,1,1,1,0,1,1,59
0,0,1,1,1,1,0,0,60
0,0,1,1,1,1,0,1,61
0,0,1,1,1,1,1,0,62
0,0,1,1,1,1,1,1,63
0,0,2,0,0,0,0,0,64
0,0,2,0,0,0,0,1,65
0,0,2,0,0,0,1,0,66
0,0,2,0,0,0,1,1,67
0,0,2,0,0,1,0,0,68
0,0,2,0,0,1,0,1,69
0,0,2,0,0,1,1,0,70
0,0,2,0,0,1,1,1,71
0,0,2,0,1,0,0,0,72
0,0,2,0,1,0,0,1,73
0,0,2,0,1,0,1,0,74
0,0,2,0,1,0,1,1,75
0,0,2,0,1,1,0,0,76
0,0,2,0,1,1,0,1,77
0,0,2,0,1,1,1,0,78
0,0,2,0,1,1,1,1,79
0,0,2,1,0,0,0,0,80
0,0,2,1,0,0,0,1,81
0,0,2,1,0,0,1,0,82
0,0,2,1,0,0,1,1,83
0,0,2,1,0,1,0,0,84
0,0,2,1,0,1,0,1,85
0,0,2,1,0,1,1,0,86
0,0,2,1,0,1,1,1,87
0,0,2,1,1,0,0,0,88
0,0,2,1,1,0,0,1,89
0,0,2,1,1,0,1,0,90
0,0,2,1,1,0,1,1,91
0,0,2,1,1,1,0,0,92
0,0,2,1,1,1,0,1,93
0,0,2,1,1,1,1,0,94
0,0,2,1,1,1,1,1,95
0,1,0,0,0,0,0,0,96
0,1,0,0,0,0,0,1,97
0,1,0,0,0,0,1,0,98
0,1,0,0,0,0,1,1,99
0,1,0,0,0,1,0,0,100
0,1,0,0,0,1,0,1,101
0,1,0,0,0,1,1,0,102
0,1,0,0,0,1,1,1,103
0,1,0,0,1,0,0,0,104
0,1,0,0,1,0,0,1,105
0,1,0,0,1,0,1,0,106
0,1,0,0,1,0,1,1,107
0,1,0,0,1,1,0,0,108
0,1,0,0,1,1,0,1,109
0,1,0,0,1,1,1,0,110
0,1,0,0,1,1,1,1,111
0,1,0,1,0,0,0,0,112
0,1,0,1,0,0,0,1,113
0,1,0,1,0,0,1,0,114
0,1,0,1,0,0,1,1,115
0,1,0,1,0,1,0,0,116
0,1,0,1,0,1,0,1,117
0,1,0,1,0,1,1,0,118
0,1,0,1,0,1,1,1,119
0,1,0,1,1,0,0,0,120
0,1,0,1,1,0,0,1,121
0,1,0,1,1,0,1,0,122
0,1,0,1,1,0,1,1,123
0,1,0,1,1,1,0,0,124
0,1,0,1,1,1,0,1,125
0,1,0,1,1,1,1,0,126
0,1,0,1,1,1,1,1,127
0,1,1,0,0,0,0,0,128
0,1,1,0,0,0,0,1,129
0,1,1,0,0,0,1,0,130
0,1,1,0,0,0,1,1,131
0,1,1,0,0,1,0,0,132
0,1,1,0,0,1,0,1,133
0,1,1,0,0,1,1,0,134
0,1,1,0,0,1,1,1,135
0,1,1,0,1,0,0,0,136
0,1,1,0,1,0,0,1,137
0,1,1,0,1,0,1,0,138
0,1,1,0,1,0,1,1,139
0,1,1,0,1,1,0,0,140
0,1,1,0,1,1,0,1,141
0,1,1,0,1,1,1,0,142
0,1,1,0,1,1,1,1,143
0,1,1,1,0,0,0,0,144
0,1,1,1,0,0,0,1,145
0,1,1,1,0,0,1,0,146
0,1,1,1,0,0,1,1,147
0,1,1,1,0,1,0,0,148
0,1,1,1,0,1,0,1,149
0,1,1,1,0,1,1,0,150
0,1,1,1,0,1,1,1,151
0,1,1,1,1,0,0,0,152
0,1,1,1,1,0,0,1,153
0,1,1,1,1,0,1,0,154
0,1,1,1,1,0,1,1,155
0,1,1,1,1,1,0,0,156
0,1,1,1,1,1,0,1,157
0,1,1,1,1,1,1,0,158
0,1,1,1,1,1,1,1,159
0,1,2,0,0,0,0,0,160
0,1,2,0,0,0,0,1,161
0,1,2,0,0,0,1,0,162
0,1,2,0,0,0,1,1,163
0,1,2,0,0,1,0,0,164
0,1,2,0,0,1,0,1,165
0,1,2,0,0,1,1,0,166
0,1,2,0,0,1,1,1,167
0,1,2,0,1,0,0,0,168
0,1,2,0,1,0,0,1,169
0,1,2,0,1,0,1,0,170
0,1,2,0,1,0,1,1,171
0,1,2,0,1,1,0,0,172
0,1,2,0,1,1,0,1,173
0,1,2,0,1,1,1,0,174
0,1,2,0,1,1,1,1,175
0,1,2,1,0,0,0,0,176
0,1,2,1,0,0,0,1,177
0,1,2,1,0,0,1,0,178
0,1,2,1,0,0,1,1,179
0,1,2,1,0,1,0,0,180
0,1,2,1,0,1,0,1,181
0,1,2,1,0,1,1,0,182
0,1,2,1,0,1,1,1,183
0,1,2,1,1,0,0,0,184
0,1,2,1,1,0,0,1,185
0,1,2,1,1,0,1,0,186
0,1,2,1,1,0,1,1,187
0,1,2,1,1,1,0,0,188
0,1,2,1,1,1,0,1,189
0,1,2,1,1,1,1,0,190
0,1,2,1,1,1,1,1,191
0,2,0,0,0,0,0,0,192
0,2,0,0,0,0,0,1,193
0,2,0,0,0,0,1,0,194
0,2,0,0,0,0,1,1,195
0,2,0,0,0,1,0,0,196
0,2,0,0,0,1,0,1,197
0,2,0,0,0,1,1,0,198
0,2,0,0,0,1,1,1,199
0,2,0,0,1,0,0,0,200
0,2,0,0,1,0,0,1,201
0,2,0,0,1,0,1,0,202
0,2,0,0,1,0,1,1,203
0,2,0,0,1,1,0,0,204
0,2,0,0,1,1,0,1,205
0,2,0,0,1,1,1,0,206
0,2,0,0,1,1,1,1,207
0,2,0,1,0,0,0,0,208
0,2,0,1,0,0,0,1,209
0,2,0,1,0,0,1,0,210
0,2,0,1,0,0,1,1,211
0,2,0,1,0,1,0,0,212
0,2,0,1,0,1,0,1,213
0,2,0,1,0,1,1,0,214
0,2,0,1,0,1,1,1,215
0,2,0,1,1,0,0,0,216
0,2,0,1,1,0,0,1,217
0,2,0,1,1,0,1,0,218
0,2,0,1,1,0,1,1,219
0,2,0,1,1,1,0,0,220
0,2,0,1,1,1,0,1,221
0,2,0,1,1,1,1,0,222
0,2,0,1,1,1,1,1,223
0,2,1,0,0,0,0,0,224
0,2,1,0,0,0,0,1,225
0,2,1,0,0,0,1,0,226
0,2,1,0,0,0,1,1,227
0,2,1,0,0,1,0,0,228
0,2,1,0,0,1,0,1,229
0,2,1,0,0,1,1,0,230
0,2,1,0,0,1,1,1,231
0,2,1,0,1,0,0,0,232
0,2,1,0,1,0,0,1,233
0,2,1,0,1,0,1,0,234
0,2,1,0,1,0,1,1,235
0,2,1,0,1,1,0,0,236
0,2,1,0,1,1,0,1,237
0,2,1,0,1,1,1,0,238
0,2,1,0,1,1,1,1,239
0,2,1,1,0,0,0,0,240
0,2,1,1,0,0,0,1,241
0,2,1,1,0,0,1,0,242
0,2,1,1,0,0,1,1,243
0,2,1,1,0,1,0,0,244
0,2,1,1,0,1,0,1,245
0,2,1,1,0,1,1,0,246
0,2,1,1,0,1,1,1,247
0,2,1,1,1,0,0,0,248
0,2,1,1,1,0,0,1,249
0,2,1,1,1,0,1,0,250
0,2,1,1,1,0,1,1,251
0,2,1,1,1,1,0,0,252
0,2,1,1,1,1,0,1,253
0,2,1,1,1,1,1,0,254
0,2,1,1,1,1,1,1,255
0,2,2,0,0,0,0,0,256
0,2,2,0,0,0,0,1,257
0,2,2,0,0,0,1,0,258
0,2,2,0,0,0,1,1,259
0,2,2,0,0,1,0,0,260
0,2,2,0,0,1,0,1,261
0,2,2,0,0,1,1,0,262
0,2,2,0,0,1,1,1,263
0,2,2,0,1,0,0,0,264
0,2,2,0,1,0,0,1,265
0,2,2,0,1,0,1,0,266
0,2,2,0,1,0,1,1,267
0,2,2,0,1,1,0,0,268
0,2,2,0,1,1,0,1,269
0,2,2,0,1,1,1,0,270
0,2,2,0,1,1,1,1,271
0,2,2,1,0,0,0,0,272
0,2,2,1,0,0,0,1,273
0,2,2,1,0,0,1,0,274
0,2,2,1,0,0,1,1,275
0,2,2,1,0,1,0,0,276
0,2,2,1,0,1,0,1,277
0,2,2,1,0,1,1,0,278
0,2,2,1,0,1,1,1,279
0,2,2,1,1,0,0,0,280
0,2,2,1,1,0,0,1,281
0,2,2,1,1,0,1,0,282
0,2,2,1,1,0,1,1,283
0,2,2,1,1,1,0,0,284
0,2,2,1,1,1,0,1,285
0,2,2,1,1,1,1,0,286
0,2,2,1,1,1,1,1,287
1,0,0,0,0,0,0,0,288
1,0,0,0,0,0,0,1,289
1,0,0,0,0,0,1,0,290
1,0,0,0,0,0,1,1,291
1,0,0,0,0,1,0,0,292
1,0,0,0,0,1,0,1,293
1,0,0,0,0,1,1,0,294
1,0,0,0,0,1,1,1,295
1,0,0,0,1,0,0,0,296
1,0,0,0,1,0,0,1,297
1,0,0,0,1,0,1,0,298
1,0,0,0,1,0,1,1,299
1,0,0,0,1,1,0,0,300
1,0,0,0,1,1,0,1,301
1,0,0,0,1,1,1,0,302
1,0,0,0,1,1,1,1,303
1,0,0,1,0,0,0,0,304
1,0,0,1,0,0,0,1,305
1,0,0,1,0,0,1,0,306
1,0,0,1,0,0,1,1,307
1,0,0,1,0,1,0,0,308
1,0,0,1,0,1,0,1,309
1,0,0,1,0,1,1,0,310
1,0,0,1,0,1,1,1,311
1,0,0,1,1,0,0,0,312
1,0,0,1,1,0,0,1,313
1,0,0,1,1,0,1,0,314
1,0,0,1,1,0,1,1,315
1,0,0,1,1,1,0,0,316
1,0,0,1,1,1,0,1,317
1,0,0,1,1,1,1,0,318
1,0,0,1,1,1,1,1,319
1,0,1,0,0,0,0,0,320
1,0,1,0,0,0,0,1,321
1,0,1,0,0,0,1,0,322
1,0,1,0,0,0,1,1,323
1,0,1,0,0,1,0,0,324
1,0,1,0,0,1,0,1,325
1,0,1,0,0,1,1,0,326
1,0,1,0,0,1,1,1,327
1,0,1,0,1,0,0,0,328
1,0,1,0,1,0,0,1,329
1,0,1,0,1,0,1,0,330
1,0,1,0,1,0,1,1,331
1,0,1,0,1,1,0,0,332
1,0,1,0,1,1,0,1,333
1,0,1,0,1,1,1,0,334
1,0,1,0,1,1,1,1,335
1,0,1,1,0,0,0,0,336
1,0,1,1,0,0,0,1,337
1,0,1,1,0,0,1,0,338
1,0,1,1,0,0,1,1,339
1,0,1,1,0,1,0,0,340
1,0,1,1,0,1,0,1,341
1,0,1,1,0,1,1,0,342
1,0,1,1,0,1,1,1,343
1,0,1,1,1,0,0,0,344
1,0,1,1,1,0,0,1,345
1,0,1,1,1,0,1,0,346
1,0,1,1,1,0,1,1,347
1,0,1,1,1,1,0,0,348
1,0,1,1,1,1,0,1,349
1,0,1,1,1,1,1,0,350
1,0,1,1,1,1,1,1,351
1,0,2,0,0,0,0,0,352
1,0,2,0,0,0,0,1,353
1,0,2,0,0,0,1,0,354
1,0,2,0,0,0,1,1,355
1,0,2,0,0,1,0,0,356
1,0,2,0,0,1,0,1,357
1,0,2,0,0,1,1,0,358
1,0,2,0,0,1,1,1,359
1,0,2,0,1,0,0,0,360
1,0,2,0,1,0,0,1,361
1,0,2,0,1,0,1,0,362
1,0,2,0,1,0,1,1,363
1,0,2,0,1,1,0,0,364
1,0,2,0,1,1,0,1,365
1,0,2,0,1,1,1,0,366
1,0,2,0,1,1,1,1,367
1,0,2,1,0,0,0,0,368
1,0,2,1,0,0,0,1,369
1,0,2,1,0,0,1,0,370
1,0,2,1,0,0,1,1,371
1,0,2,1,0,1,0,0,372
1,0,2,1,0,1,0,1,373
1,0,2,1,0,1,1,0,374
1,0,2,1,0,1,1,1,375
1,0,2,1,1,0,0,0,376
1,0,2,1,1,0,0,1,377
1,0,2,1,1,0,1,0,378
1,0,2,1,1,0,1,1,379
1,0,2,1,1,1,0,0,380
1,0,2,1,1,1,0,1,381
1,0,2,1,1,1,1,0,382
1,0,2,1,1,1,1,1,383
1,1,0,0,0,0,0,0,384
1,1,0,0,0,0,0,1,385
1,1,0,0,0,0,1,0,386
1,1,0,0,0,0,1,1,387
1,1,0,0,0,1,0,0,388
1,1,0,0,0,1,0,1,389
1,1,0,0,0,1,1,0,390
1,1,0,0,0,1,1,1,391
1,1,0,0,1,0,0,0,392
1,1,0,0,1,0,0,1,393
1,1,0,0,1,0,1,0,394
1,1,0,0,1,0,1,1,395
1,1,0,0,1,1,0,0,396
1,1,0,0,1,1,0,1,397
1,1,0,0,1,1,1,0,398
1,1,0,0,1,1,1,1,399
1,1,0,1,0,0,0,0,400
1,1,0,1,0,0,0,1,401
1,1,0,1,0,0,1,0,402
1,1,0,1,0,0,1,1,403
1,1,0,1,0,1,0,0,404
1,1,0,1,0,1,0,1,405
1,1,0,1,0,1,1,0,406
1,1,0,1,0,1,1,1,407
1,1,0,1,1,0,0,0,408
1,1,0,1,1,0,0,1,409
1,1,0,1,1,0,1,0,410
1,1,0,1,1,0,1,1,411
1,1,0,1,1,1,0,0,412
1,1,0,1,1,1,0,1,413
1,1,0,1,1,1,1,0,414
1,1,0,1,1,1,1,1,415
1,1,1,0,0,0,0,0,416
1,1,1,0,0,0,0,1,417
1,1,1,0,0,0,1,0,418
1,1,1,0,0,0,1,1,419
1,1,1,0,0,1,0,0,420
1,1,1,0,0,1,0,1,421
1,1,1,0,0,1,1,0,422
1,1,1,0,0,1,1,1,423
1,1,1,0,1,0,0,0,424
1,1,1,0,1,0,0,1,425
1,1,1,0,1,0,1,0,426
1,1,1,0,1,0,1,1,427
1,1,1,0,1,1,0,0,428
1,1,1,0,1,1,0,1,429
1,1,1,0,1,1,1,0,430
1,1,1,0,1,1,1,1,431
1,1,1,1,0,0,0,0,432
1,1,1,1,0,0,0,1,433
1,1,1,1,0,0,1,0,434
1,1,1,1,0,0,1,1,435
1,1,1,1,0,1,0,0,436
1,1,1,1,0,1,0,1,437
1,1,1,1,0,1,1,0,438
1,1,1,1,0,1,1,1,439
1,1,1,1,1,0,0,0,440
1,1,1,1,1,0,0,1,441
1,1,1,1,1,0,1,0,442
1,1,1,1,1,0,1,1,443
1,1,1,1,1,1,0,0,444
1,1,1,1,1,1,0,1,445
1,1,1,1,1,1,1,0,446
1,1,1,1,1,1,1,1,447
1,1,2,0,0,0,0,0,448
1,1,2,0,0,0,0,1,449
1,1,2,0,0,0,1,0,450
1,1,2,0,0,0,1,1,451
1,1,2,0,0,1,0,0,452
1,1,2,0,0,1,0,1,453
1,1,2,0,0,1,1,0,454
1,1,2,0,0,1,1,1,455
1,1,2,0,1,0,0,0,456
1,1,2,0,1,0,0,1,457
1,1,2,0,1,0,1,0,458
1,1,2,0,1,0,1,1,459
1,1,2,0,1,1,0,0,460
1,1,2,0,1,1,0,1,461
1,1,2,0,1,1,1,0,462
1,1,2,0,1,1,1,1,463
1,1,2,1,0,0,0,0,464
1,1,2,1,0,0,0,1,465
1,1,2,1,0,0,1,0,466
1,1,2,1,0,0,1,1,467
1,1,2,1,0,1,0,0,468
1,1,2,1,0,1,0,1,469
1,1,2,1,0,1,1,0,470
1,1,2,1,0,1,1,1,471
1,1,2,1,1,0,0,0,472
1,1,2,1,1,0,0,1,473
1,1,2,1,1,0,1,0,474
1,1,2,1,1,0,1,1,475
1,1,2,1,1,1,0,0,476
1,1,2,1,1,1,0,1,477
1,1,2,1,1,1,1,0,478
1,1,2,1,1,1,1,1,479
1,2,0,0,0,0,0,0,480
1,2,0,0,0,0,0,1,481
1,2,0,0,0,0,1,0,482
1,2,0,0,0,0,1,1,483
1,2,0,0,0,1,0,0,484
1,2,0,0,0,1,0,1,485
1,2,0,0,0,1,1,0,486
1,2,0,0,0,1,1,1,487
1,2,0,0,1,0,0,0,488
1,2,0,0,1,0,0,1,489
1,2,0,0,1,0,1,0,490
1,2,0,0,1,0,1,1,491
1,2,0,0,1,1,0,0,492
1,2,0,0,1,1,0,1,493
1,2,0,0,1,1,1,0,494
1,2,0,0,1,1,1,1,495
1,2,0,1,0,0,0,0,496
1,2,0,1,0,0,0,1,497
1,2,0,1,0,0,1,0,498
1,2,0,1,0,0,1,1,499
1,2,0,1,0,1,0,0,500
1,2,0,1,0,1,0,1,501
1,2,0,1,0,1,1,0,502
1,2,0,1,0,1,1,1,503
1,2,0,1,1,0,0,0,504
1,2,0,1,1,0,0,1,505
1,2,0,1,1,0,1,0,506
1,2,0,1,1,0,1,1,507
1,2,0,1,1,1,0,0,508
1,2,0,1,1,1,0,1,509
1,2,0,1,1,1,1,0,510
1,2,0,1,1,1,1,1,511
1,2,1,0,0,0,0,0,512
1,2,1,0,0,0,0,1,513
1,2,1,0,0,0,1,0,514
1,2,1,0,0,0,1,1,515
1,2,1,0,0,1,0,0,516
1,2,1,0,0,1,0,1,517
1,2,1,0,0,1,1,0,518
1,2,1,0,0,1,1,1,519
1,2,1,0,1,0,0,0,520
1,2,1,0,1,0,0,1,521
1,2,1,0,1,0,1,0,522
1,2,1,0,1,0,1,1,523
1,2,1,0,1,1,0,0,524
1,2,1,0,1,1,0,1,525
1,2,1,0,1,1,1,0,526
1,2,1,0,1,1,1,1,527
1,2,1,1,0,0,0,0,528
1,2,1,1,0,0,0,1,529
1,2,1,1,0,0,1,0,530
1,2,1,1,0,0,1,1,531
1,2,1,1,0,1,0,0,532
1,2,1,1,0,1,0,1,533
1,2,1,1,0,1,1,0,534
1,2,1,1,0,1,1,1,535
1,2,1,1,1,0,0,0,536
1,2,1,1,1,0,0,1,537
1,2,1,1,1,0,1,0,538
1,2,1,1,1,0,1,1,539
1,2,1,1,1,1,0,0,540
1,2,1,1,1,1,0,1,541
1,2,1,1,1,1,1,0,542
1,2,1,1,1,1,1,1,543
1,2,2,0,0,0,0,0,544
1,2,2,0,0,0,0,1,545
1,2,2,0,0,0,1,0,546
1,2,2,0,0,0,1,1,547
1,2,2,0,0,1,0,0,548
1,2,2,0,0,1,0,1,549
1,2,2,0,0,1,1,0,550
1,2,2,0,0,1,1,1,551
1,2,2,0,1,0,0,0,552
1,2,2,0,1,0,0,1,553
1,2,2,0,1,0,1,0,554
1,2,2,0,1,0,1,1,555
1,2,2,0,1,1,0,0,556
1,2,2,0,1,1,0,1,557
1,2,2,0,1,1,1,0,558
1,2,2,0,1,1,1,1,559
1,2,2,1,0,0,0,0,560
1,2,2,1,0,0,0,1,561
1,2,2,1,0,0,1,0,562
1,2,2,1,0,0,1,1,563
1,2,2,1,0,1,0,0,564
1,2,2,1,0,1,0,1,565
1,2,2,1,0,1,1,0,566
1,2,2,1,0,1,1,1,567
1,2,2,1,1,0,0,0,568
1,2,2,1,1,0,0,1,569
1,2,2,1,1,0,1,0,570
1,2,2,1,1,0,1,1,571
1,2,2,1,1,1,0,0,572
1,2,2,1,1,1,0,1,573
1,2,2,1,1,1,1,0,574
1,2,2,1,1,1,1,1,575
